WR,White Recessed,AP,Metal Louvre & Clear Lens,AP,P,F&P with 3 Circuit Wired 1/1/2/2/3/3,Zencontrol Wireless Smart + MW Sensor,AP,615mm x 68mm,,,,
LA,L Baffles + Antimicrobial,AQ,Metal Louvre & Frosted Lens,AQ,Q,F&P with 3 Circuit Wired 1/2/1/2 with custom 24 Hour,Zencontrol Wireless Smart + EM + PIR Sensor,AQ,615mm x 138mm,,,,
AA,Air Boot + Antimicrobial,AR,Ultima Computer Louvre & UGR Diffuser,AR,R,F&P with 3 Circuit Wired 1/1/2/2 with custom 24 Hour,Zencontrol Wireless Smart + EM + MW Sensor,AR,620mm x 339mm,,,,
RA,Rear Access,AS,Ultima Computer Louvre & Clear Lens,AS,S,5 wire system A1/A2/N1/N2/E or A1/N/E/DA/DA,Standard Phase Cut Driver,AS,620mm x 340mm,,,,
,,AT,Ultima Computer Louvre & Frosted Lens,AT,T,7 wire system A1/A2/A3/N1/N2/N3/E or A1/N1/A2/N2/E/DA/DA,DALI-2 Driver + EM,AT,630mm x 630mm,,,,
,,,,,,,,BI,1220mm x 264mm,,,,
,,,,,,,,BJ,1220mm x 339mm,,,,
,,,,,,,,BK,1220mm x 340mm,,,,
,,,,,,,,BL,1224mm x 427mm,,,,
,,,,,,,,BM,1224mm x 612mm,,,,
,,,,,,,,BN,1225mm x 265mm,,,,
,,,,,,,,BO,1255mm x 310mm,,,,
,,,,,,,,BP,1270mm x 156mm,,,,
,,,,,,,,BQ,1295mm x 245mm,,,,
,,,,,,,,BR,1319mm x 371mm,,,,
,,,,,,,,BS,1453mm x 477mm,,,,
,,,,,,,,BT,1495mm x 195mm,,,,
,,,,,,,,BU,1495mm x 295mm,,,,
,,,,,,,,BV,1495mm x 395mm,,,,
,,,,,,,,BW,1495mm x 595mm,,,,
,,,,,,,,BX,1500mm x 1500mm,,,,
,,,,,,,,BY,1555mm x 310mm,,,,
,,,,,,,,BZ,1570mm x 156mm,,,,
,,,,,,,,CC,293mm x 590mm - Two Way Grid,,,,
,,,,,,,,CD,296mm x 588mm - One Way Grid,,,,
,,,,,,,,CE,293mm x 1190mm - Two Way Grid,,,,
,,,,,,,,CF,296mm x 1188mm - One Way Grid,,,,
,,,,,,,,CG,293mm x 1490mm - Two Way Grid,,,,
,,,,,,,,CH,296mm x 1488mm - One Way Grid,,,,
,,,,,,,,CI,393mm x 590mm - Two Way Grid,,,,
,,,,,,,,CJ,396mm x 588mm - One Way Grid,,,,
,,,,,,,,CK,393mm x 1190mm - Two Way Grid,,,,
,,,,,,,,CL,396mm x 1188mm - One Way Grid,,,,
,,,,,,,,CM,393mm x 1490mm - Two Way Grid,,,,
,,,,,,,,CN,396mm x 1488mm - One Way Grid,,,,
,,,,,,,,CO,590mm x 593mm - Two Way Grid,,,,
,,,,,,,,CP,593mm x 1190mm - Two Way Grid,,,,
,,,,,,,,CR,596mm x 1188mm - One Way Grid,,,,
,,,,,,,,CS,600mm x 55mm,,,,
,,,,,,,,CT,900mm x 55mm,,,,
,,,,,,,,CU,1200mm x 55mm,,,,
,,,,,,,,CV,1500mm x 55mm,,,,
,,,,,,,,CW,1800mm x 55mm,,,,
,,,,,,,,CX,2100mm x 55mm,,,,
,,,,,,,,CY,2400mm x 55mm,,,,
,,,,,,,,CZ,2700mm x 55mm,,,,
,,,,,,,,C1,3000mm x 55mm,,,,
,,,,,,,,C2,100mm Diameter x 105mm Height x 90mm Cutout,,,,
,,,,,,,,C3,130mm Diameter x 116mm Height x 115mm Cutout,,,,
,,,,,,,,C4,160mm Diameter x 125mm Height x 145mm Cutout,,,,
,,,,,,,,C5,100mm Diameter x 87mm Height x 85mm Cutout,,,,
,,,,,,,,C6,140mm Diameter x 107mm Height x 120mm Cutout,,,,
,,,,,,,,C7,175mm Diameter x 115mm Height x 145mm Cutout,,,,
,,,,,,,,D3,446mm x 1488mm - One Way Grid,,,,
,,,,,,,,D4,496mm x 588mm - One Way Grid,,,,
,,,,,,,,D5,100mm Diameter x 134mm Height,,,,
,,,,,,,,D6,120mm Diameter x 144mm Height,,,,
,,,,,,,,D7,170mm Diameter x 159mm Height,,,,
,,,,,,,,D8,1222mm x 340mm,,,,
,,,,,,,,D9,493mm x 743mm,,,,
,,,,,,,,D0,493mm x 1493mm,,,,
,,,,,,,,EA,574mm x 65mm - 1 module,,,,
,,,,,,,,EB,1148mm x 65mm - 2 module,,,,
,,,,,,,,EC,261mm x 387mm,,,,
,,,,,,,,ED,261mm x 527mm,,,,
,,,,,,,,EE,261mm x 667mm,,,,
,,,,,,,,EF,261mm x 1227mm,,,,
,,,,,,,,EG,330mm x 600mm,,,,
,,,,,,,,EH,330mm x 1198mm,,,,
,,,,,,,,EI,X-1487mm,,,,
,,,,,,,,EJ,X-1687mm,,,,
,,,,,,,,EK,X-1727mm,,,,
,,,,,,,,EL,X-1767mm,,,,
,,,,,,,,EM,X-1967mm,,,,
,,,,,,,,EN,X-2007mm,,,,
,,,,,,,,EO,X-2047mm,,,,
,,,,,,,,EP,X-2247mm,,,,
,,,,,,,,EQ,X-2287mm,,,,
,,,,,,,,ER,X-2327mm,,,,
,,,,,,,,ES,X-2527mm,,,,
,,,,,,,,ET,X-2567mm,,,,
,,,,,,,,EU,X-2607mm,,,,
,,,,,,,,EV,X-2807mm,,,,
,,,,,,,,EW,X-2847mm,,,,
,,,,,,,,EX,X-2887mm,,,,
,,,,,,,,EY,X-3087mm,,,,
,,,,,,,,EZ,X-3127mm,,,,
,,,,,,,,F1,X-6527mm,,,,
,,,,,,,,F2,X-6727mm,,,,
,,,,,,,,F3,X-6767mm,,,,
,,,,,,,,F4,X-6807mm,,,,
,,,,,,,,F5,X-7007mm,,,,
,,,,,,,,F6,X-7047mm,,,,
,,,,,,,,F7,X-7087mm,,,,
,,,,,,,,F8,X-7287mm,,,,
,,,,,,,,F9,X-7327mm,,,,
,,,,,,,,F0,X-7367mm,,,,
,,,,,,,,GA,X-7567mm,,,,
,,,,,,,,GB,X-7607mm,,,,
,,,,,,,,GC,X-7647mm,,,,
,,,,,,,,GD,X-7847mm,,,,
,,,,,,,,GE,X-7887mm,,,,
,,,,,,,,GF,X-7927mm,,,,
,,,,,,,,GG,X-8127mm,,,,
,,,,,,,,GH,X-8167mm,,,,
,,,,,,,,GI,X-8207mm,,,,
,,,,,,,,GJ,X-8407mm,,,,
,,,,,,,,GK,X-8447mm,,,,
,,,,,,,,GL,X-8487mm,,,,
,,,,,,,,GM,X-8687mm,,,,
,,,,,,,,GN,X-8727mm,,,,
,,,,,,,,GO,X-8767mm,,,,
,,,,,,,,GP,X-8967mm,,,,
,,,,,,,,GQ,X-9007mm,,,,
,,,,,,,,GR,X-9047mm,,,,
,,,,,,,,GS,X-9247mm,,,,
,,,,,,,,GT,X-9287mm,,,,
,,,,,,,,GU,X-9327mm,,,,
,,,,,,,,GV,X-9527mm,,,,
,,,,,,,,GW,X-9567mm,,,,
,,,,,,,,GX,X-9607mm,,,,
,,,,,,,,GY,X-9807mm,,,,
,,,,,,,,GZ,X-9847mm,,,,
,,,,,,,,H1,X-13247mm,,,,
,,,,,,,,H2,X-13447mm,,,,
,,,,,,,,H3,X-13487mm,,,,
,,,,,,,,H4,X-13527mm,,,,
,,,,,,,,H5,X-13727mm,,,,
,,,,,,,,H6,X-13767mm,,,,
,,,,,,,,H7,X-13807mm,,,,
,,,,,,,,H8,X-14007mm,,,,
,,,,,,,,H9,X-14047mm,,,,
,,,,,,,,H0,X-14087mm,,,,
,,,,,,,,IA,X-14287mm,,,,
,,,,,,,,IB,X-14327mm,,,,
,,,,,,,,IC,X-14367mm,,,,
,,,,,,,,ID,X-14567mm,,,,
,,,,,,,,IE,X-14607mm,,,,
,,,,,,,,IF,X-14647mm,,,,
,,,,,,,,IG,X-14847mm,,,,
,,,,,,,,IH,X-14887mm,,,,
,,,,,,,,II,X-14927mm,,,,
,,,,,,,,IJ,X-15127mm,,,,
,,,,,,,,IK,X-15167mm,,,,
,,,,,,,,IL,X-15207mm,,,,
,,,,,,,,IM,X-15407mm,,,,
,,,,,,,,IN,X-15447mm,,,,
,,,,,,,,IO,X-15487mm,,,,
,,,,,,,,IP,X-15687mm,,,,
,,,,,,,,IQ,X-15727mm,,,,
,,,,,,,,IR,X-15767mm,,,,
,,,,,,,,IS,X-15967mm,,,,
,,,,,,,,IT,X-16007mm,,,,
